"country_code"	"meteorite_class"	"count"	"average_mass"	"max_mass"	"min_mass"	
"DEU"	"L5"	"2"	"1510.5"	"3000.0"	"21.0"	
"DEU"	"LL4"	"1"	"17.0"	"17.0"	"17.0"	
"DEU"	"H5"	"7"	"1097.47"	"3000.0"	"24.3"	
"DEU"	"H/L3.9"	"1"	"7250.0"	"7250.0"	"7250.0"	
"DEU"	"H6"	"4"	"1463.0"	"3250.0"	"112.0"	
"DEU"	"H3/4"	"1"	"1000.0"	"1000.0"	"1000.0"	
"DEU"	"Diogenite"	"1"	"2000.0"	"2000.0"	"2000.0"	
"DEU"	"L6"	"8"	"6427.7"	"17000.0"	"737.6"	
"DEU"	"LL5"	"3"	"5576.0"	"16500.0"	"43.0"	
"DEU"	"Howardite"	"1"	"1600.0"	"1600.0"	"1600.0"	
"DEU"	"H4"	"1"	"10500.0"	"10500.0"	"10500.0"	
"DEU"	"Stone-uncl"	"2"	"3700.0"	"4500.0"	"2900.0"	
"DEU"	"Diogenite-pm"	"1"	"117.8"	"117.8"	"117.8"	
"DEU"	"LL6"	"1"	"1250.0"	"1250.0"	"1250.0"	
"DEU"	"Iron, IIIAB-an"	"1"	"63000.0"	"63000.0"	"63000.0"	
"DEU"	"Iron, IAB complex"	"2"	"750143.5"	"1500000.0"	"287.0"	
"DEU"	"Iron, ungrouped"	"2"	"10250.0"	"19000.0"	"1500.0"	
"DEU"	"Mesosiderite-A4"	"1"	"16500.0"	"16500.0"	"16500.0"	
"DEU"	"H/L4"	"1"	"51.8"	"51.8"	"51.8"	
"DEU"	"Pallasite"	"1"	"3000.0"	"3000.0"	"3000.0"	
"DEU"	"Iron, IIAB"	"1"	"12500.0"	"12500.0"	"12500.0"	
"DEU"	"Iron, IVA"	"1"	"41000.0"	"41000.0"	"41000.0"	
"DEU"	"Iron, IVA-an"	"1"	"98000.0"	"98000.0"	"98000.0"	
"DEU"	"Iron, IAB-MG"	"1"	"150.0"	"150.0"	"150.0"	
"DEU"	"Iron, IIC"	"1"	"80000.0"	"80000.0"	"80000.0"	
"DNK"	"H6"	"1"	"720.0"	"720.0"	"720.0"	
"DNK"	"CM2"	"1"	"25.81"	"25.81"	"25.81"	
"DNK"	"L6"	"1"	"4000.0"	"4000.0"	"4000.0"	
"DNK"	"Iron, IIIAB"	"1"	"13500.0"	"13500.0"	"13500.0"	
"DNK"	"Iron, IIAB"	"1"	"40000.0"	"40000.0"	"40000.0"	
"CAN"	"EH4"	"1"	"107000.0"	"107000.0"	"107000.0"	
"CAN"	"H5"	"5"	"8639.46"	"25400.0"	"103.3"	
"CAN"	"LL6"	"1"	"2840.0"	"2840.0"	"2840.0"	
"CAN"	"L6"	"8"	"44951.75"	"303000.0"	"202.6"	
"CAN"	"H4"	"4"	"11279.88"	"41000.0"	"229.5"	
"CAN"	"H6"	"5"	"14996.0"	"47700.0"	"40.0"	
"CAN"	"L5"	"3"	"7725.37"	"18600.0"	"0.1"	
"CAN"	"CI1"	"1"	"1.0"	"1.0"	"1.0"	
"CAN"	"C2-ung"	"1"	"10000.0"	"10000.0"	"10000.0"	
"CAN"	"Iron, IAB-sLL"	"2"	"9150.0"	"13500.0"	"4800.0"	
"CAN"	"Iron, IAB-MG"	"1"	"9162.0"	"9162.0"	"9162.0"	
"CAN"	"EL6"	"1"	"1830.0"	"1830.0"	"1830.0"	
"CAN"	"Iron, IIAB"	"2"	"10170.0"	"13000.0"	"7340.0"	
